Date,Open,High,Low,Close,Adj Close,Volume
2004-09-25,13053.599609,13154.910156,12884.400391,13120.030273,13120.030273,979140800
2004-10-02,13347.169922,13402.959961,13186.209961,13241.459961,13241.459961,1718865400
2004-10-09,13240.849609,13321.540039,12982.290039,13059.429688,13059.429688,1406122200
2004-10-16,13074.730469,13155.370117,12945.299805,13015.200195,13015.200195,858673000
2004-10-23,12816.080078,13141.299805,12743.419922,13054.660156,13054.660156,1778850400
2004-10-30,13039.400391,13536.870117,13001.320313,13494.950195,13494.950195,1608280800
2004-11-06,13536.209961,13822.110352,13463.719727,13784.459961,13784.459961,1767943400
2004-11-13,13906.990234,13950.940430,13726.790039,13787.679688,13787.679688,2121618800
2004-11-20,13646.809570,14091.889648,13629.780273,13895.030273,13895.030273,1915341600
2004-11-27,13979.330078,14339.059570,13936.509766,14211.839844,14211.839844,2292596000
2004-12-04,14256.009766,14317.309570,13869.530273,13901.809570,13901.809570,1811635200
2004-12-11,13875.370117,14137.379883,13760.110352,13992.440430,13992.440430,1701394600
2004-12-18,14000.179688,14259.940430,13957.250000,14194.900391,14194.900391,1026069000
2004-12-25,14147.929688,14333.240234,14096.820313,14230.139648,14230.139648,809602800
2005-01-01,14216.040039,14267.209961,13403.000000,13574.860352,13574.860352,2063229800
2005-01-08,13573.419922,13649.429688,13352.709961,13494.780273,13494.780273,1864824000
2005-01-15,13529.080078,13700.940430,13432.459961,13481.019531,13481.019531,1791429200
2005-01-22,13449.879883,13750.480469,13320.530273,13650.059570,13650.059570,1779016600
2005-01-29,13625.230469,13762.860352,13454.400391,13585.169922,13585.169922,1912321000
2005-02-05,13749.080078,13863.990234,13749.080078,13845.629883,13845.629883,601453400
2005-02-12,14006.540039,14093.429688,13898.919922,14087.870117,14087.870117,1611784400
2005-02-19,14072.410156,14207.530273,13907.540039,14157.089844,14157.089844,1655425400
2005-02-26,14204.860352,14272.540039,13692.389648,13730.780273,13730.780273,1721525200
2005-03-05,13829.839844,13996.459961,13736.179688,13890.929688,13890.929688,1686556400
2005-03-12,13832.940430,13935.110352,13647.059570,13828.370117,13828.370117,1568139600
2005-03-19,13822.950195,13865.120117,13547.839844,13597.099609,13597.099609,1122328400
2005-03-26,13552.099609,13556.139648,13357.169922,13491.349609,13491.349609,1465006400
2005-04-02,13474.360352,13686.990234,13436.959961,13666.719727,13666.719727,1153468000
2005-04-09,13614.049805,13808.509766,13579.160156,13638.750000,13638.750000,1261058200
2005-04-16,13382.019531,13727.440430,13337.440430,13693.549805,13693.549805,1526669400
2005-04-23,13744.450195,13956.519531,13711.389648,13908.969727,13908.969727,1471863400
